annee;atc1;l_atc1;region;boites;population;boites_pour_1000
2024;A;SYSTEME DIGESTIF ET METABOLISME;11;69014015;12507542;5518
2024;A;SYSTEME DIGESTIF ET METABOLISME;24;15956966;2588006;6166
2024;A;SYSTEME DIGESTIF ET METABOLISME;27;17622803;2800180;6293
2024;A;SYSTEME DIGESTIF ET METABOLISME;28;21347903;3348960;6374
2024;A;SYSTEME DIGESTIF ET METABOLISME;32;43245948;5983840;7227
2024;A;SYSTEME DIGESTIF ET METABOLISME;44;37305889;5557457;6713
2024;A;SYSTEME DIGESTIF ET METABOLISME;52;20060076;3926871;5108
2024;A;SYSTEME DIGESTIF ET METABOLISME;53;18523402;3469711;5339
2024;A;SYSTEME DIGESTIF ET METABOLISME;75;40180662;6181885;6500
2024;A;SYSTEME DIGESTIF ET METABOLISME;76;38304495;6165869;6212
2024;A;SYSTEME DIGESTIF ET METABOLISME;84;43427633;8238335;5271
2024;A;SYSTEME DIGESTIF ET METABOLISME;93;40458135;5252362;7703
2024;B;SANG ET ORGANES HEMATOPOIETQUES;11;19264835;12507542;1540
2024;B;SANG ET ORGANES HEMATOPOIETQUES;24;4805063;2588006;1857
2024;B;SANG ET ORGANES HEMATOPOIETQUES;27;5475487;2800180;1955
2024;B;SANG ET ORGANES HEMATOPOIETQUES;28;6936302;3348960;2071
2024;B;SANG ET ORGANES HEMATOPOIETQUES;32;12473209;5983840;2084
2024;B;SANG ET ORGANES HEMATOPOIETQUES;44;11722031;5557457;2109
2024;B;SANG ET ORGANES HEMATOPOIETQUES;52;6320822;3926871;1610
2024;B;SANG ET ORGANES HEMATOPOIETQUES;53;6272919;3469711;1808
2024;B;SANG ET ORGANES HEMATOPOIETQUES;75;12254805;6181885;1982
2024;B;SANG ET ORGANES HEMATOPOIETQUES;76;12864614;6165869;2086
2024;B;SANG ET ORGANES HEMATOPOIETQUES;84;13785557;8238335;1673
2024;B;SANG ET ORGANES HEMATOPOIETQUES;93;14214302;5252362;2706
2024;C;SYSTEME CARDIO-VASCULAIRE;11;33594366;12507542;2686
2024;C;SYSTEME CARDIO-VASCULAIRE;24;10508083;2588006;4060
2024;C;SYSTEME CARDIO-VASCULAIRE;27;11084287;2800180;3958
2024;C;SYSTEME CARDIO-VASCULAIRE;28;13266445;3348960;3961
2024;C;SYSTEME CARDIO-VASCULAIRE;32;23664619;5983840;3955
2024;C;SYSTEME CARDIO-VASCULAIRE;44;21183770;5557457;3812
2024;C;SYSTEME CARDIO-VASCULAIRE;52;12050665;3926871;3069
2024;C;SYSTEME CARDIO-VASCULAIRE;53;12696319;3469711;3659
2024;C;SYSTEME CARDIO-VASCULAIRE;75;24030850;6181885;3887
2024;C;SYSTEME CARDIO-VASCULAIRE;76;21762211;6165869;3529
2024;C;SYSTEME CARDIO-VASCULAIRE;84;27384483;8238335;3324
2024;C;SYSTEME CARDIO-VASCULAIRE;93;22292586;5252362;4244
2024;D;DERMATOLOGIE;11;14805476;12507542;1184
2024;D;DERMATOLOGIE;24;2574574;2588006;995
2024;D;DERMATOLOGIE;27;2792892;2800180;997
2024;D;DERMATOLOGIE;28;3392565;3348960;1013
2024;D;DERMATOLOGIE;32;8452229;5983840;1413
2024;D;DERMATOLOGIE;44;6990740;5557457;1258
2024;D;DERMATOLOGIE;52;3299517;3926871;840
2024;D;DERMATOLOGIE;53;3073735;3469711;886
2024;D;DERMATOLOGIE;75;6618234;6181885;1071
2024;D;DERMATOLOGIE;76;7081835;6165869;1149
2024;D;DERMATOLOGIE;84;8068206;8238335;979
2024;D;DERMATOLOGIE;93;8213169;5252362;1564
2024;G;SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES;11;10524161;12507542;841
2024;G;SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES;24;2287772;2588006;884
2024;G;SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES;27;2657860;2800180;949
2024;G;SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES;28;3120787;3348960;932
2024;G;SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES;32;5596528;5983840;935
2024;G;SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES;44;5152512;5557457;927
2024;G;SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES;52;3183148;3926871;811
2024;G;SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES;53;2674645;3469711;771
2024;G;SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES;75;5718353;6181885;925
2024;G;SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES;76;5648185;6165869;916
2024;G;SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES;84;6888593;8238335;836
2024;G;SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES;93;5694906;5252362;1084
2024;H;HORMONES SYSTEMIQUES, A L EXCLUSION DES HORMONES SEXUELLES ET DES INSULINES;11;9354339;12507542;748
2024;H;HORMONES SYSTEMIQUES, A L EXCLUSION DES HORMONES SEXUELLES ET DES INSULINES;24;2193539;2588006;848
